bred_for,breed_group,country_code,country_codes,description,history,id,image_url,imperial_height,imperial_weight,life_span,metric_height,metric_weight,name,origin,perfect_for,species_id,temperament
,Toy,DE,DE,"Small, sturdy toy breed with a distinctive monkey-like expression and shaggy, wiry coat. Known for its confident, terrier-like personality despite its small size.","Originating in 17th-century Germany, bred down from larger terriers to be skilled ratters in homes, kitchens and stables. Refined in Munich and Berlin, recognized by AKC in 1936. Name translates to 'monkey-like terrier'.",1,https://storage.googleapis.com/dog-api-uploads-prod/originals/8009d9ca-3f02-41dc-89fd-c9241027fb96.jpeg,9-11.5,7-10,12-15,23-29,3.2-4.5,Affenpinscher,Germany,,2,"Confident, alert, playful, loyal, courageous"
,Hound,AF,AF,"Ancient, elegant sighthound with dramatic, flowing silky coat and aristocratic bearing, bred for hunting large prey in mountainous terrain","Ancient sighthound originating in the mountainous regions of Afghanistan, where they were prized for hunting large prey like gazelles and leopards. Valued for their speed, stamina, and problem-solving intelligence over rugged terrain. Introduced to the Western world by British officers in the early 20th century.",2,https://storage.googleapis.com/dog-api-uploads-prod/originals/4a361a1f-efa9-41a5-a164-124ca68ad141.jpeg,Male: 27-29; Female: 25-27,Male: 55-65; Female: 45-55,12-15,Male: 69-74; Female: 63-69,Male: 25-30; Female: 20-25,Afghan Hound,Afghanistan,,2,"Independent, dignified, aloof, loyal, confident"
,Terrier,GB,GB,"The largest of all terrier breeds, the Airedale is a large, athletic dog with a distinctive wiry black and tan coat and confident, alert demeanor. Known as the 'King of Terriers', this highly intelligent and versatile breed combines courage with an outgoing temperament.","Developed in the Aire Valley of Yorkshire, England, by crossing Otterhounds with various terrier breeds. Originally bred by working-class fanciers to hunt otters and rats, their intelligence and courage led to their use as police dogs, war dogs, and all-around companions.",4,https://cdn4.thedogapi.com/optimized/H5dFqyAoeZ.jpg,Male: 23-24; Female: 22-23,Male: 50-70; Female: 40-55,11-14,Male: 58-61; Female: 56-58,Male: 23-32; Female: 18-25,Airedale Terrier,"Yorkshire, England",,2,"Confident, intelligent, courageous, alert, energetic, outgoing"
,Guardian,TR,TR,"Large, powerful, all-white livestock guardian dog from Turkey with lean athletic build, known for its independent nature and strong protective instincts. The distinctive white coat helped shepherds distinguish it from predators at a distance.","Ancient breed developed over 3,000 years ago in western Turkey for guarding livestock, particularly in the Akbash region. The white coat helped shepherds distinguish the dogs from predators. Introduced to North America in the 1970s for predator control programs.",5,https://cdn4.thedogapi.com/optimized/e8yVyPMX2w.jpg,Male: 28-34; Female: 27-32,Male: 90-140; Female: 75-105,10-12,Male: 71-86; Female: 69-81,Male: 41-64; Female: 34-48,Akbash,Western Turkey,,2,"Independent, protective, calm, alert, loyal, intelligent"
,Working,JP,JP,"A large, powerful spitz-type dog of Japanese origin with a bear-like head, dense double coat, and full curled tail. Known for its dignified presence, imposing stature, and courageous, loyal temperament.","Ancient Japanese breed developed in the mountainous Akita prefecture for hunting large game including wild boar and bear. Revered in Japanese culture as a symbol of health, happiness, and good fortune. The breed was nearly lost after World War II but was preserved by dedicated breeders and designated as a national treasure in Japan.",6,https://storage.googleapis.com/dog-api-uploads-prod/originals/85a7180d-7fab-42d6-b872-2f01fdae7ecb.jpeg,Male: 26-28; Female: 24-26,Male: 100-130; Female: 70-100,10-13,Male: 66-71; Female: 61-66,Male: 45-59; Female: 32-45,Akita,Japan,,2,"Courageous, loyal, dignified, independent, protective, alert"
,Working,US,US,"A powerful, athletic bulldog breed with distinctive blue merle or patched coat patterns and muscular build. Originally developed as a 'catch dog' for farm work, livestock protection, and family guardian with strong protective instincts.","Developed in the Alapaha River region of southern Georgia as a multi-purpose catch dog for working cattle and hogs, and as a family guardian. Descended from Old English Bulldogs and recreated the original plantation bulldogs of the 1800s, maintained by the Lane family.",7,https://storage.googleapis.com/dog-api-uploads-prod/originals/7fce7584-ce26-4b07-ac50-00917f685ea3.jpeg,Male: 20-24; Female: 18-22,Male: 70-90; Female: 55-75,12-13,Male: 51-61; Female: 46-56,Male: 32-41; Female: 25-34,Alapaha Blue Blood Bulldog,"Alapaha River region of southern Georgia, United States",,2,"Loyal, protective, intelligent, confident, alert"
,Mixed,US,US,"Medium-sized athletic sled dog bred for performance rather than appearance, with variable coat colors and exceptional endurance. Built for speed and arctic conditions, this working dog represents a blend of various Northern breeds and pointers optimized for sled racing.","Developed in Alaska as a purpose-bred sled dog through selective breeding of various northern breeds (Siberian Husky, Alaskan Malamute, Inuit dogs) with European breeds like Pointers, Greyhounds, and Salukis to create the ideal combination of speed, endurance, and work ethic for sled racing",8,https://storage.googleapis.com/dog-api-uploads-prod/originals/42d7aaab-5807-472f-8668-a8b8184a2fcf.jpeg,Male: 21-26; Female: 20-25,Male: 38-60; Female: 35-55,10-15,Male: 53-66; Female: 51-64,Male: 17-27; Female: 16-25,Alaskan Husky,"Alaska, United States",,2,"Energetic, intelligent, work-focused, athletic, friendly, independent"
,Working,US,US,"An immensely strong, heavy-duty freighting dog of spitz type, the Alaskan Malamute is a large, powerful Arctic sled dog with a thick double coat, deep chest, well-muscled body, wolf-like appearance, and characteristically plumed tail carried over the back","One of the oldest Arctic sled dogs, developed by the native Mahlemut Inuit tribe of northwestern Alaska. Essential for survival, used for hauling heavy freight across Arctic terrain, hunting large predators like seals and polar bears",9,https://storage.googleapis.com/dog-api-uploads-prod/originals/4b2b5ed6-e152-4dfc-876e-0043914c7fef.jpeg,Male: 24-26; Female: 22-24,Male: 80-90; Female: 70-80,10-14,Male: 61-66; Female: 56-61,Male: 36-41; Female: 32-36,Alaskan Malamute,"Alaska, United States",,2,"Affectionate, friendly, loyal, playful, intelligent, energetic, outgoing"
,Working,US,US,"A powerful, athletic, short-coated dog of the molosser type with a broad head and muscular build, known for its confidence, strength, and loyalty as a family companion and guardian. Originally bred for farm work and protection.","Descended from Old English Bulldogs brought by working-class immigrants to the American South. Developed as versatile all-around farm utility dogs for guarding property, catching livestock, and protection. The breed was preserved from near extinction after WWII by breeders John D. Johnson and Alan Scott.",10,https://storage.googleapis.com/dog-api-uploads-prod/originals/6bc0b248-c54b-480e-97ea-fb1f628d0f0e.jpeg,Male: 22-25; Female: 20-23,Male: 75-100; Female: 60-80,10-12,Male: 56-64; Female: 51-58,Male: 34-45; Female: 27-36,American Bulldog,United States,,2,"Confident, loyal, protective, energetic, affectionate, courageous"
,Companion,US,US,"A compact, muscular companion breed with a powerfully built body, broad head, and confident demeanor. Known for its gentle, affectionate nature and loyalty to family, the American Bully was developed from American Pit Bull Terriers and other bully breeds to create an excellent companion dog with a stable temperament.","Developed in the United States between the 1980s and 1990s as a companion breed through selective breeding of American Pit Bull Terriers, American Staffordshire Terriers, and other bulldog-type breeds to produce a dog with a gentler temperament and more muscular, 'bullier' physique. Recognized by the United Kennel Club in 2013.",11,https://cdn4.thedogapi.com/optimized/3Ewy1eAkz2.jpg,Male: 17-20; Female: 16-19,Male: 65-120; Female: 55-100,8-13,Male: 43-51; Female: 41-48,Male: 29-54; Female: 25-45,American Bully,United States,,2,"Confident, gentle, loyal, affectionate, outgoing, eager to please"
,Sporting,US,US,"The smallest member of the Sporting Group, the American Cocker Spaniel is a medium-sized sporting dog with a beautifully chiseled head, long flowing silky coat, long ears, and gentle expression","Developed in the United States from English Cocker Spaniels brought over in the late 1800s. American breeders selected for smaller size, more refined head, and heavier coat for woodcock hunting, leading to recognition as a separate breed by the AKC in 1946",87,https://cdn4.thedogapi.com/optimized/IKwhmJWCwN.jpg,Male: 14.5-15.5; Female: 13.5-14.5,Male: 25-30; Female: 20-25,10-14,Male: 37-39; Female: 34-37,Male: 11-14; Female: 9-11,American Cocker Spaniel,United States,,2,"Gentle, smart, happy, outgoing, affectionate"
,Non-Sporting,US,US,"Compact spitz-type companion dog with distinctive dense white double coat, black points on lips, nose, and eye rims, wedge-shaped head, and plumed tail carried over the back. Available in three sizes (toy, miniature, standard) with an alert expression and striking appearance.","Descended from white German Spitz dogs brought to America by German immigrants. Name changed from German Spitz to American Eskimo Dog during World War I due to anti-German sentiment. Became popular circus performers in the 19th and early 20th centuries, recognized by AKC in 1994",12,https://storage.googleapis.com/dog-api-uploads-prod/originals/4b94b0a4-85bc-4861-a37e-dac76def6390.jpeg,9-19,6-35,,23-48,3-16,American Eskimo Dog,United States,,2,"Intelligent, alert, friendly, playful, energetic, eager to please"
,Hound,US,US,"A sleek, powerful scenthound with a long, fine-boned body and athletic build, known for incredible stamina, speed, and melodious baying voice. One of the oldest American-bred dogs, developed for endurance and pack hunting.","Developed from English Foxhounds imported to Colonial America in the 1650s, refined for American terrain and fox hunting. George Washington was a key figure in the breed's development, breeding them to be lighter, taller, and faster for hunting American red fox over varied terrain.",14,https://storage.googleapis.com/dog-api-uploads-prod/originals/73e69c96-34f1-4a31-a96d-c9c042ea975e.jpeg,Male: 22-25; Female: 21-24,Male: 65-70; Female: 60-65,11-13,Male: 56-64; Female: 53-61,Male: 29-32; Female: 27-29,American Foxhound,United States,,2,"Independent, friendly, gentle, energetic, intelligent"
,Terrier,US,US,"Medium-sized, muscular terrier with athletic build and short coat, known for its strength, confidence, intelligence, and affectionate nature towards people. Possesses great strength for its size and is both athletic and agile.",Developed in the late 19th century from English bull-and-terrier breeds brought to America. Originally bred for bull-baiting and later refined as all-around farm dogs and loyal family companions. First recognized by the United Kennel Club in 1898.,15,https://storage.googleapis.com/dog-api-uploads-prod/originals/a728c8bc-2a50-4d54-a903-91e5ab416294.jpeg,Male: 18-21; Female: 17-20,Male: 35-60; Female: 30-50,12-16,Male: 46-53; Female: 43-51,Male: 16-27; Female: 14-23,American Pit Bull Terrier,United States,,2,"Confident, intelligent, loyal, affectionate, eager to please, energetic"
,Terrier,US,US,"A muscular, stocky, but agile medium-sized terrier of remarkable strength with a broad head, strong build, smooth coat and confident, good-natured personality","Developed in the 19th century from crosses of bulldogs and terriers brought to America in the 1800s. Originally bred for bull-baiting and pit fighting, later refined to be larger than English Staffordshire Bull Terriers and developed into all-purpose farm dogs and family companions. Recognized by the AKC in 1936.",16,https://storage.googleapis.com/dog-api-uploads-prod/originals/fae232c8-6b6a-4b93-9f8a-09d0339b2a48.jpeg,Male: 18-19; Female: 17-18,Male: 55-70; Female: 40-55,12-16,Male: 46-48; Female: 43-46,Male: 25-32; Female: 18-25,American Staffordshire Terrier,United States,,2,"Confident, courageous, loyal, intelligent, smart"
,Sporting,US,US,"Medium-sized versatile sporting dog with distinctive curly or wavy chocolate or liver coat, bred for hunting waterfowl in the icy waters and marshy banks of the Great Lakes region","Developed in the 19th century in the Fox and Wolf River valleys of Wisconsin as a compact, versatile hunter that could work from a skiff or boat. Ancestry likely includes Irish Water Spaniel and Curly-Coated Retriever. Named the state dog of Wisconsin in 1985 and foundation breed for the Boykin Spaniel, recognized by AKC in 1940.",17,https://cdn4.thedogapi.com/optimized/NCxW2X6eTX.jpg,15-18,Male: 30-45; Female: 25-40,10-14,38-46,Male: 14-20; Female: 11-18,American Water Spaniel,"Wisconsin, United States",,2,"Eager to please, intelligent, energetic, alert, happy"
,Working,CH,CH,"Medium-sized, muscular and agile Swiss mountain dog with distinctive tricolor coat and tightly curled tail carried over the back. Known for their lively, self-assured expression and work-focused temperament, this ancient breed combines herding instincts with guarding abilities.","One of the four Swiss Sennenhund breeds, this ancient breed from the Appenzell region was used for centuries as an all-purpose farm dog for herding cattle, guarding property, and pulling carts. Formally established in the late 19th century through the efforts of forester Max Siber and Professor Albert Heim.",19,https://storage.googleapis.com/dog-api-uploads-prod/originals/2d8c642c-6f86-4275-bbba-a7f0a1c088f5.jpeg,Male: 20-22; Female: 19-21,Male: 48-70; Female: 44-62,12-15,Male: 51-56; Female: 48-54,Male: 22-32; Female: 20-28,Appenzeller Sennenhund,"Appenzell region, Switzerland",,2,"Energetic, intelligent, confident, loyal, alert, work-focused"
,Herding,AU,AU,"Compact, muscular working dog with distinctive coat markings and exceptional endurance for cattle herding; known as the Heeler","Developed in 19th century Australia by crossing British herding dogs including blue merle Collies with native Dingo, with later infusions of Dalmatian and Black and Tan Kelpie to create a hardy cattle herding dog for harsh Australian conditions",21,https://storage.googleapis.com/dog-api-uploads-prod/originals/da91e705-2ef9-4e75-8b19-691d8f99935e.jpeg,Male: 18-20; Female: 17-19,35-50,12-16,Male: 46-51; Female: 43-48,16-23,Australian Cattle Dog,Australia,,2,"Intelligent, alert, loyal, energetic, courageous"
,Herding,AU,AU,"Medium-sized athletic herding dog with exceptional energy and intelligence, developed for working sheep over vast distances in harsh Australian conditions. Known for their lithe, agile build and inexhaustible work ethic.",Developed in Australia during the late 19th century from crosses of imported Scottish Collies with Dingoes and other working dogs to create the ultimate sheep herding dog capable of working independently over vast distances in harsh climates,22,https://storage.googleapis.com/dog-api-uploads-prod/originals/e4eea683-60f7-4095-9dc1-d35458f1d9ac.jpeg,Male: 17-20; Female: 16-19,Male: 31-46; Female: 26-40,12-16,Male: 43-51; Female: 41-48,Male: 14-21; Female: 12-18,Australian Kelpie,Australia,,2,"Intelligent, energetic, loyal, work-focused, alert"
,Herding,US,US,"Medium-sized, agile herding dog with striking multicolored coat, expressive eyes, and keen herding instincts. Known for their intense work drive and weather-resistant double coat.","Despite its name, the Australian Shepherd was developed in the American West in the 19th century from Basque shepherd dogs brought by immigrants from the Pyrenees region. The breed's intelligence and versatility made it popular on the rodeo circuit and for ranching work.",23,https://storage.googleapis.com/dog-api-uploads-prod/originals/941d27a3-a346-4b56-bfed-a76d4ec745cd.jpeg,Male: 20-23; Female: 18-21,Male: 50-65; Female: 40-55,12-15,Male: 51-58; Female: 46-53,Male: 23-29; Female: 18-25,Australian Shepherd,Western United States,,2,"Intelligent, energetic, work-focused, loyal, devoted, athletic"
,Toy,AU,AU,"A small, spirited toy terrier with a refined but substantial build, characterized by its long, straight, glossy blue-and-tan silky coat that is parted down the middle and lively, alert demeanor","Developed in Australia in the late 19th century by crossing Yorkshire Terriers with Australian Terriers to create a small companion dog with a long, silky coat, combining hardiness with refined features and vermin hunting ability",228,https://cdn4.thedogapi.com/optimized/LX867UmLze.jpg,9-10,8-10,,23-25,3.5-5,Australian Silky Terrier,Australia,,2,"Friendly, intelligent, alert, energetic, confident"
,Terrier,AU,AU,"Small, sturdy terrier with harsh double coat and distinctive topknot, known for its spirited, alert expression and courageous personality","Developed in Australia during the 19th century from British terrier breeds including Cairn, Skye, and Yorkshire Terriers. Bred as all-purpose exterminators of rodents and snakes, as well as loyal watchdogs and companions. Recognized by AKC in 1960.",24,https://storage.googleapis.com/dog-api-uploads-prod/originals/f264d025-4b87-4be4-bf4d-8c7fbb327773.jpeg,10-11,15-20,11-15,25-28,7-9,Australian Terrier,Australia,,2,"Courageous, alert, friendly, loyal, intelligent"
,Hound,ML,ML,"Elegant, tall sighthound from West Africa with a lean, muscular build, fine coat, and long legs built for speed and endurance in desert conditions of the Sahel region","Ancient sighthound breed developed by nomadic Tuareg peoples of the Sahel region for hunting gazelle and other game, protecting livestock, and serving as companions. Bred for speed and stamina in Saharan and Sahelian conditions",25,https://cdn4.thedogapi.com/optimized/kDnvvUI63Z.jpg,Male: 25-29; Female: 23.5-27.5,Male: 44-55; Female: 33-44,12-15,Male: 63-74; Female: 60-70,Male: 20-25; Female: 15-20,Azawakh,"West Africa (Sahel region: Mali, Niger, Burkina Faso)",,2,"Independent, loyal, alert, protective, affectionate, aloof"
,Sporting,FR,FR,"Medium-sized French water dog with distinctive long, dense, curly coat and webbed feet, bred for waterfowl retrieval. Known for its rustic, athletic build and joyful, intelligent disposition.","Ancient French water dog dating to 16th century, used for centuries to locate, flush and retrieve waterfowl in marshes and rivers. The breed's name derives from 'barbe' meaning beard. Nearly extinct after WWI but revived through dedicated breeding programs. Considered ancestor to several modern breeds including the Poodle and Briard. Officially recognized by the AKC in 2020.",26,https://cdn4.thedogapi.com/optimized/xFJkKsMcEB.jpg,Male: 21-25; Female: 20-24,37-62,12-14,Male: 53-65; Female: 51-61,17-28,Barbet,France,,2,"Friendly, intelligent, loyal, playful, athletic, devoted"
,Hound,CD,CD,"Small, elegant sighthound from Central Africa with a tightly curled tail, wrinkled forehead, and smooth coat. Known as the 'barkless dog' for its unique yodel-like vocalizations instead of traditional barking.","Ancient breed originating in Central Africa, depicted in Egyptian and Babylonian art. Prized by Pygmy tribes and Congo region tribes as versatile hunters for their speed and silence. Brought to England in the 1930s and established in the West.",28,https://cdn4.thedogapi.com/optimized/1mYNTc1R6H.jpg,Male: 16-17.5; Female: 15-16.5,Male: 22-26; Female: 20-24,,Male: 41-44.5; Female: 38-42,Male: 10-12; Female: 9-11,Basenji,Central Africa,,2,"Independent, intelligent, alert, energetic, curious, affectionate"
,Hound,FR,FR,"Medium-sized, low-slung French scent hound with distinctive blue-mottled coat, long drooping ears, and exceptional tracking abilities. Known for its noble expression and remarkable sense of smell.",Descended from the larger Grand Bleu de Gascogne developed in medieval Gascony region for hunting small game. Nearly extinct but revived in early 20th century by breeder Alain Bourbon,29,https://storage.googleapis.com/dog-api-uploads-prod/originals/5a548ad4-ef27-48b4-a8a5-8b9aa2f0a2d0.jpeg,13-15,35-40,10-14,33-38,16-18,Basset Bleu de Gascogne,"Gascony, France",,2,"Gentle, friendly, alert, loyal, independent"
,Hound,FR,FR,"Low-slung, heavy-boned scent hound with distinctive long, velvety ears, mournful expression, and loose skin. Known for powerful tracking ability and calm demeanor.","Developed by French aristocrats from hounds bred at the Abbey of St. Hubert for hunting small game in dense cover. Low-slung body perfected for trailing rabbits and hare, later refined in England for pack hunting.",30,https://storage.googleapis.com/dog-api-uploads-prod/originals/74b9e98d-60c5-484d-ad62-4db57a0bc47e.jpeg,13-15,40-65,12-13,33-38,18-30,Basset Hound,France,,2,"Friendly, calm, gentle, loyal, independent, devoted"
,Hound,GB,GB,"Compact, merry scent hound with sturdy build, distinctive tri-color or bi-color coat pattern, and cheerful disposition. Originally bred for hunting hare in packs with a distinctive baying voice.","The modern Beagle was developed in Great Britain around the 1830s from various English hounds. Bred as 'foot hounds' for hare hunting, with hunters following on foot rather than horseback.",31,https://storage.googleapis.com/dog-api-uploads-prod/originals/076906f8-69d2-41be-957b-9542e1e36bbc.jpeg,Male: 13-16; Female: 13-15,20-30,10-15,Male: 33-41; Female: 33-38,9-14,Beagle,England,,2,"Friendly, gentle, alert, outgoing, curious, energetic"
,Herding,GB,GB,"Medium-sized herding dog with long, shaggy double coat and animated expression, known for its boisterous, charismatic personality and distinctive bouncing gait","Ancient Scottish herding breed developed to drive sheep and cattle in harsh Highland conditions, bred for hardiness, intelligence, and ability to work independently. Nearly extinct after World War II but revived through careful breeding programs. Recognized by Kennel Club in 1959 and AKC in 1977.",32,https://storage.googleapis.com/dog-api-uploads-prod/originals/9840e3d7-0620-4702-a234-0c173d9ec304.jpeg,Male: 21-22; Female: 20-21,45-55,12-14,Male: 53-56; Female: 51-53,20-25,Bearded Collie,Scotland,,2,"Intelligent, energetic, playful, affectionate, alert, confident, outgoing"
